Name,Name2,Primary Type,Secondary type,Attack,Defense,HP,Sp.Attack,Sp.Defense,Speed,Total
Bulbasaur,,GRASS,POISON,49,49,45,65,65,45,318
Ivysaur,,GRASS,POISON,62,63,60,80,80,60,405
Venusaur,,GRASS,POISON,82,83,80,100,100,80,525
Venusaur,Mega Venusaur,GRASS,POISON,100,123,80,122,120,80,625
Charmander,,FIRE,,52,43,39,60,50,65,309
Charmeleon,,FIRE,,64,58,58,80,65,80,405
Charizard,,FIRE,FLYING,84,78,78,109,85,100,534
Charizard,Mega Charizard X,FIRE,DRAGON,130,111,78,130,85,100,634
Charizard,Mega Charizard Y,FIRE,FLYING,104,78,78,159,115,100,634
Squirtle,,WATER,,48,65,44,50,64,43,314
Wartortle,,WATER,,63,80,59,65,80,58,405
Blastoise,,WATER,,83,100,79,85,105,78,530
Blastoise,Mega Blastoise,WATER,,103,120,79,135,115,78,630
Caterpie,,BUG,,30,35,45,20,20,45,195
Metapod,,BUG,,20,55,50,25,25,30,205
Butterfree,,BUG,FLYING,45,50,60,90,80,70,395
Weedle,,BUG,POISON,35,30,40,20,20,50,195
Kakuna,,BUG,POISON,25,50,45,25,25,35,205
Beedrill,,BUG,POISON,90,40,65,45,80,75,395
Beedrill,Mega Beedrill,BUG,POISON,150,40,65,15,80,145,495
Pidgey,,NORMAL,FLYING,45,40,40,35,35,56,251
Pidgeotto,,NORMAL,FLYING,60,55,63,50,50,71,349
Pidgeot,,NORMAL,FLYING,80,75,83,70,70,101,479
Pidgeot,Mega Pidgeot,NORMAL,FLYING,80,80,83,135,80,121,579
Rattata,,NORMAL,,56,35,30,25,35,72,253
Rattata,Alolan Rattata,DARK,NORMAL,56,35,30,25,35,72,253
Raticate,,NORMAL,,81,60,55,50,70,97,413
Raticate,Alolan Raticate,DARK,NORMAL,71,70,75,40,80,77,413
Spearow,,NORMAL,FLYING,60,30,40,31,31,70,262
Fearow,,NORMAL,FLYING,90,65,65,61,61,100,442
Ekans,,POISON,,60,44,35,40,54,55,288
Arbok,,POISON,,95,69,60,65,79,80,448
Pikachu,,ELECTRIC,,55,40,35,50,50,90,320
Pikachu,Partner Pikachu,ELECTRIC,,80,50,45,75,60,120,430
Raichu,,ELECTRIC,,90,55,60,90,80,110,485
Raichu,Alolan Raichu,ELECTRIC,PSYCHIC,85,50,60,95,85,110,485
Sandshrew,,GROUND,,75,85,50,20,30,40,300
Sandshrew,Alolan Sandshrew,ICE,STEEL,75,90,50,10,35,40,300
Sandslash,,GROUND,,100,110,75,45,55,65,450
Sandslash,Alolan Sandslash,ICE,STEEL,100,120,75,25,65,65,450
Nidoranï¿½,,POISON,,47,52,55,40,40,41,275
Nidorina,,POISON,,62,67,70,55,55,56,365
Nidoqueen,,POISON,GROUND,92,87,90,75,85,76,505
Nidoranï¿½,,POISON,,57,40,46,40,40,50,273
Nidorino,,POISON,,72,57,61,55,55,65,365
Nidoking,,POISON,GROUND,102,77,81,85,75,85,505
Clefairy,,FAIRY,,45,48,70,60,65,35,323
Clefable,,FAIRY,,70,73,95,95,90,60,483
Vulpix,,FIRE,,41,40,38,50,65,65,299
Vulpix,Alolan Vulpix,ICE,,41,40,38,50,65,65,299
Ninetales,,FIRE,,76,75,73,81,100,100,505
Ninetales,Alolan Ninetales,ICE,FAIRY,67,75,73,81,100,109,505
Jigglypuff,,NORMAL,FAIRY,45,20,115,45,25,20,270
Wigglytuff,,NORMAL,FAIRY,70,45,140,85,50,45,435
Zubat,,POISON,FLYING,45,35,40,30,40,55,245
Golbat,,POISON,FLYING,80,70,75,65,75,90,455
Oddish,,GRASS,POISON,50,55,45,75,65,30,320
Gloom,,GRASS,POISON,65,70,60,85,75,40,395
Vileplume,,GRASS,POISON,80,85,75,110,90,50,490
Paras,,BUG,GRASS,70,55,35,45,55,25,285
Parasect,,BUG,GRASS,95,80,60,60,80,30,405
Venonat,,BUG,POISON,55,50,60,40,55,45,305
Venomoth,,BUG,POISON,65,60,70,90,75,90,450
Diglett,,GROUND,,55,25,10,35,45,95,265
Diglett,Alolan Diglett,GROUND,STEEL,55,30,10,35,45,90,265
Dugtrio,,GROUND,,100,50,35,50,70,120,425
Dugtrio,Alolan Dugtrio,GROUND,STEEL,100,60,35,50,70,110,425
