ID,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
1,21,0.624,1,0,2,3,4,3,,4,0,31.37214456,1
2,21,0.616794885,1,0,2,3,4,0,,,1,63.98890487,1
3,73,0.754,1,0,2,3,4,0,,,0,19,1
4,57,0.866,1,0,0,5,4,9,4,4,5,53,0
5,21,0.624,1,1,0,4,4,5,3,4,5,108,1
6,103,0.92,1,1,0,3,4,13,7,4,5,11,0
7,103,0.92,1,1,0,5,4,25,,,3,43,0
8,114,0.926,1,0,0,,,9,,,0,30,1
9,100,0.887,1,1,0,2,,17,4,4,1,133,0
10,100,0.887,1,1,0,4,4,25,1,4,5,152,0
11,102,0.804,1,1,2,3,4,6,6,4,1,86,0
12,21,0.624,1,0,2,3,4,5,,4,0,6,1
13,21,0.624,0,1,0,3,4,7,3,4,0,35,1
14,21,0.624,0,1,0,4,4,3,4,4,3,40,1
15,16,0.91,1,0,2,3,4,10,,,2,8,0
16,21,0.834880813,1,0,2,2,,0,,,0,150.649361,1
17,103,0.92,1,0,0,,,7,,4,0,108,0
18,11,0.55,1,1,0,4,4,14,4,3,1,166,1
19,103,0.92,1,1,0,3,4,6,3,,2,25,0
20,61,0.913,1,0,2,2,,2,5,5,2,26,1
21,16,0.91,0,1,0,3,4,11,,,1,82,0
22,71,0.827981776,0,1,0,3,4,16,,,1,28.506085,1
23,21,0.624,1,0,2,3,4,2,,,0,100,0
24,100,0.887,0,0,2,4,4,3,,5,1,30,1
25,16,0.91,1,1,0,4,4,9,6,4,1,82,0
26,28,0.939,1,0,0,5,4,25,1,4,5,98,0
27,103,0.850120842,1,0,2,3,4,3,,,0,49.58231606,1
28,103,0.678824701,1,1,0,3,4,25,,4,5,35.22476944,1
29,103,0.92,0,1,0,3,4,,,,,17.53379213,1
30,103,0.92,0,1,0,3,4,14,,,5,140,1
31,21,0.624,0,0,0,4,4,2,,,0,14,1
32,21,0.617642867,1,1,0,3,4,4,2,,5,6.171814414,1
33,65,0.802,0,1,2,3,4,4,,,1,129,0
34,114,0.926,1,1,0,3,4,7,3,4,4,76,0
35,160,0.92,1,1,0,3,4,10,3,4,3,5,0
36,104,0.924,1,0,2,4,4,25,5,3,2,24,0
37,103,0.911320338,1,1,0,3,4,5,,,1,120.7667324,1
38,103,0.92,1,1,0,3,4,14,6,4,5,15,0
39,100,0.88914022,1,1,0,4,4,19,,4,1,109.7072527,1
40,138,0.836,0,1,0,3,4,5,3,4,1,8,0
41,103,0.92,1,1,0,3,4,25,5,4,5,34,0
42,103,0.92,1,1,0,3,2,15,,3,2,63,0
43,101,0.558,1,1,0,3,4,11,1,4,5,68,1
44,28,0.939,1,1,1,3,4,2,6,4,1,37,0
45,103,0.92,0,0,1,4,2,10,,,2,106,0
46,71,0.884,1,1,0,4,4,17,3,2,1,6,0
47,83,0.923,0,1,0,3,4,8,3,4,0,326,0
48,16,0.91,1,1,0,3,4,25,8,4,5,38,0
49,57,0.866,1,0,2,3,4,8,,,0,111,0
50,142,0.727,1,1,0,4,4,25,,,1,88,1
51,136,0.897,1,1,0,3,4,9,5,4,4,25,0
52,11,0.55,1,1,0,3,4,5,4,4,1,194,0
53,16,0.91,2,1,0,3,4,25,4,3,5,37,0
54,160,0.92,1,1,0,3,4,16,3,2,5,42,0
55,103,0.92,1,1,0,4,4,25,,,5,70,0
56,160,0.92,1,0,2,3,4,5,6,4,1,9,0
57,21,0.624,1,0,2,3,4,2,,,0,44,1
58,103,0.791231296,1,1,0,3,4,25,,,2,90.80344912,1
59,21,0.624,0,1,2,3,4,3,3,4,1,80,1
60,21,0.624,1,1,0,3,4,0,2,4,2,15.76396753,1
61,21,0.624,2,1,2,3,4,3,3,4,1,15,1
62,67,0.855,1,1,0,3,4,12,6,4,1,47,0
63,103,0.92,2,1,0,4,1,10,8,5,1,34,0
64,103,0.92,1,1,0,3,4,25,,,5,25,0
65,21,0.624,1,1,0,3,4,9,,,1,63.05985626,1
66,103,0.92,1,1,0,3,4,25,,5,1,119.3632646,1
67,103,0.77501587,1,1,0,3,4,2,,,1,16.702188,1
68,21,0.642660814,1,0,2,3,4,0,,,1,8.344295456,1
69,16,0.91,1,0,0,3,2,1,,,1,42,1
70,21,0.624,1,1,0,3,4,18,3,2,2,68,1
71,78,0.579,1,1,2,3,4,5,,,2,28,0
72,65,0.802,1,1,2,3,4,17,5,,1,13,0
73,162,0.767,1,0,0,,,3,,,0,9,0
74,74,0.579,0,1,1,4,4,0,2,3,0,72,0
75,89,0.925,1,0,2,3,2,2,,,1,68,0
76,21,0.624,0,0,2,2,,6,,4,0,184,0
77,136,0.897,1,1,0,5,4,19,3,4,4,314,0
78,21,0.624,1,1,0,3,4,3,6,4,2,138,1
79,103,0.72075121,1,0,2,3,4,8,,,1,98.4608566,1
80,21,0.533725162,1,1,0,3,4,7,4,4,1,54.10524416,1
81,103,0.92,1,1,0,3,4,25,6,4,5,70,0
82,103,0.917853198,1,1,0,3,4,25,,,1,166.2596583,1
83,77,0.83,1,0,2,1,,8,,4,0,10,0
84,46,0.762,1,1,0,3,4,6,4,2,1,100,0
85,114,0.926,1,1,0,4,4,15,,,2,87,0
86,103,0.925057211,1,1,0,3,4,25,,,1,28.48589536,1
87,141,0.763,1,1,0,3,4,7,1,2,1,86,0
88,21,0.547183695,1,1,0,3,4,5,,4,1,36.70108854,1
89,10,0.895,1,1,1,3,4,12,2,4,1,12,0
90,136,0.897,0,0,2,2,,5,,,0,18,0
91,103,0.92,1,1,0,2,,25,6,4,2,182,0
92,21,0.624,1,1,2,3,4,1,8,4,1,42,0
93,103,0.92,0,1,2,3,4,16,3,,2,23,1
94,103,0.92,1,1,0,3,4,4,8,4,2,23,0
95,16,0.91,1,1,0,3,4,16,2,4,5,15,0
96,103,0.898181374,1,1,0,3,4,10,,,1,33.98505317,1
97,21,0.624,0,1,2,3,4,1,3,4,1,9.594815809,1
98,21,0.624,0,1,0,3,4,3,,,0,85.05295548,1
99,21,0.635394161,1,1,0,3,4,4,8,4,1,11.13941606,1
100,21,0.724601791,1,1,0,3,4,3,4,4,1,29.55789164,1
101,91,0.691,1,0,0,4,4,10,8,4,2,86,0
102,21,0.624,0,1,0,4,4,2,5,4,2,46.06705295,1
103,90,0.756307335,0,1,0,3,4,18,,,1,104.3832761,1
104,75,0.939,0,1,0,3,4,13,1,1,1,37,0
105,21,0.624,1,0,1,3,4,4,2,2,,112,0
106,16,0.91,1,1,0,3,4,14,4,4,1,156,0
107,136,0.897,0,0,2,4,4,7,,4,1,30,0
108,109,0.701,0,1,2,3,4,10,,,1,16,1
109,118,0.722,1,1,0,3,4,10,3,4,1,13,0
110,21,0.647350123,1,1,0,3,4,5,8,,1,36.52433764,1
111,21,0.624,1,0,2,3,4,0,,,1,15.79396984,1
112,160,0.92,1,1,0,3,4,25,2,2,1,94,0
113,21,0.790203038,1,1,0,3,4,3,,4,1,165.6225901,1
114,50,0.896,0,0,0,3,4,25,,,0,10,0
115,26,0.698,1,1,0,4,4,11,1,4,2,29,1
116,90,0.698,0,1,0,4,4,9,2,,4,86,0
117,103,0.884093261,1,1,0,3,4,10,,4,5,88.60763346,1
118,21,0.624,0,1,0,3,4,9,4,4,1,53.10672213,1
119,21,0.624,1,1,2,3,4,6,3,4,3,56,1
120,103,0.692426459,1,0,2,3,4,4,,,1,56.09095253,1
121,74,0.579,1,1,2,3,4,5,3,4,1,268,1
122,103,0.92,1,1,0,3,4,25,,,1,29.92201893,1
123,16,0.91,1,0,0,,,3,,,0,270,0
124,21,0.592116617,1,1,0,3,4,0,8,4,1,195.1821736,1
125,65,0.802,1,1,0,3,4,13,3,4,2,19,0
126,101,0.558,0,0,2,3,4,0,1,1,1,53,1
127,114,0.926,1,0,2,2,,2,4,4,2,52,0
128,21,0.688668326,1,1,0,3,4,5,3,4,1,46.79940037,1
