Arc names,Total Episodes
Prologue — Land of Waves Arc,19
Chūnin Exams Arc,48
Konoha Crush Arc,13
Search for Tsunade Arc,20
Land of Tea Escort Mission Arc,6
Sasuke Recovery Mission Arc,29
Filler Arcs Arc,85
Kakashi Gaiden Arc,0
Special,17
Kazekage Rescue Mission Arc,32
Tenchi Bridge Reconnaissance Mission Arc,21
Twelve Guardian Ninja Arc,18
Akatsuki Suppression Mission Arc,17
Three-Tails' Appearance Arc,24
Itachi Pursuit Mission Arc,12
Tale of Jiraiya the Gallant Arc,7
Fated Battle Between Brothers Arc,10
Six-Tails Unleashed Arc,8
Pain's Assault Arc,22
Past Arc: The Locus of Konoha Arc,21
Five Kage Summit Arc,18
Fourth Shinobi World War: Countdown Arc,22
Paradise Life on a Boat Arc,20
Fourth Shinobi World War: Confrontation Arc,53
Power Arc,6
Fourth Shinobi World War: Climax Arc,41
Kakashi's Anbu Arc: The Shinobi That Lives in the Darkness Arc,13
Birth of the Ten-Tails' Jinchūriki Arc,30
In Naruto's Footsteps: The Friends' Paths Arc,20
Jiraiya Shinobi Handbook: The Tale of Naruto the Hero Arc,19
Kaguya Ōtsutsuki Strikes Arc,23
Itachi Shinden Book: Light and Darkness Arc,5
Childhood Arc,4
Sasuke Shinden: Book of Sunrise Arc,5
Shikamaru Hiden: A Cloud Drifting in Silent Darkness Arc,5
Konoha Hiden: The Perfect Day for a Wedding Arc,7
The Seventh Hokage and the Scarlet Spring Arc,0
