PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
1,3,1,22,1,0,7.25,0,3,0
2,1,0,38,1,0,71.2833,1,1,1
3,3,0,26,0,0,7.925,0,3,1
4,1,0,35,1,0,53.1,1,3,1
5,3,1,35,0,0,8.05,0,3,0
6,3,1,,0,0,8.4583,0,2,0
7,1,1,54,0,0,51.8625,1,3,0
8,3,1,2,3,1,21.075,0,3,0
9,3,0,27,0,2,11.1333,0,3,1
10,2,0,14,1,0,30.0708,0,1,1
11,3,0,4,1,1,16.7,1,3,1
12,1,0,58,0,0,26.55,1,3,1
13,3,1,20,0,0,8.05,0,3,0
14,3,1,39,1,5,31.275,0,3,0
15,3,0,14,0,0,7.8542,0,3,0
16,2,0,55,0,0,16,0,3,1
17,3,1,2,4,1,29.125,0,2,0
18,2,1,,0,0,13,0,3,1
19,3,0,31,1,0,18,0,3,0
20,3,0,,0,0,7.225,0,1,1
21,2,1,35,0,0,26,0,3,0
22,2,1,34,0,0,13,1,3,1
23,3,0,15,0,0,8.0292,0,2,1
24,1,1,28,0,0,35.5,1,3,1
25,3,0,8,3,1,21.075,0,3,0
26,3,0,38,1,5,31.3875,0,3,1
27,3,1,,0,0,7.225,0,1,0
28,1,1,19,3,2,263,1,3,0
29,3,0,,0,0,7.8792,0,2,1
30,3,1,,0,0,7.8958,0,3,0
31,1,1,40,0,0,27.7208,0,1,0
32,1,0,,1,0,146.5208,1,1,1
33,3,0,,0,0,7.75,0,2,1
34,2,1,66,0,0,10.5,0,3,0
35,1,1,28,1,0,82.1708,0,1,0
36,1,1,42,1,0,52,0,3,0
37,3,1,,0,0,7.2292,0,1,1
38,3,1,21,0,0,8.05,0,3,0
39,3,0,18,2,0,18,0,3,0
40,3,0,14,1,0,11.2417,0,1,1
41,3,0,40,1,0,9.475,0,3,0
42,2,0,27,1,0,21,0,3,0
43,3,1,,0,0,7.8958,0,1,0
44,2,0,3,1,2,41.5792,0,1,1
45,3,0,19,0,0,7.8792,0,2,1
46,3,1,,0,0,8.05,0,3,0
47,3,1,,1,0,15.5,0,2,0
48,3,0,,0,0,7.75,0,2,1
49,3,1,,2,0,21.6792,0,1,0
50,3,0,18,1,0,17.8,0,3,0
51,3,1,7,4,1,39.6875,0,3,0
52,3,1,21,0,0,7.8,0,3,0
53,1,0,49,1,0,76.7292,1,1,1
54,2,0,29,1,0,26,0,3,1
55,1,1,65,0,1,61.9792,1,1,0
56,1,1,,0,0,35.5,1,3,1
57,2,0,21,0,0,10.5,0,3,1
58,3,1,28.5,0,0,7.2292,0,1,0
59,2,0,5,1,2,27.75,0,3,1
60,3,1,11,5,2,46.9,0,3,0
61,3,1,22,0,0,7.2292,0,1,0
62,1,0,38,0,0,80,1,0,1
63,1,1,45,1,0,83.475,1,3,0
64,3,1,4,3,2,27.9,0,3,0
65,1,1,,0,0,27.7208,0,1,0
66,3,1,,1,1,15.2458,0,1,1
67,2,0,29,0,0,10.5,1,3,1
68,3,1,19,0,0,8.1583,0,3,0
